usertype,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
Member,8760.000000,1.657631,0.000000,13.050000,1.868111,0.019960,3.489838,1.126976,1.589075,2.656888,0.216667,1.000000,2.500000,5.600000,7.906833
Short-Term Pass Holder,8760.000000,3.617595,0.000000,66.233333,6.335163,0.067687,40.134288,1.751208,3.003040,11.974768,0.000000,0.866667,4.300000,16.750833,30.333333
