usertype,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
Member,8760.000000,10.075571,0.000000,71.000000,11.143922,0.119066,124.187004,1.106034,1.587563,2.459189,2.000000,6.000000,15.000000,34.000000,49.000000
Short-Term Pass Holder,8760.000000,5.941096,0.000000,81.000000,9.386730,0.100291,88.110698,1.579966,2.496103,7.715643,0.000000,2.000000,8.000000,26.000000,43.000000
