usertype,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
Member,8760.000000,10.075571,0.000000,67.000000,11.111583,0.118720,123.467288,1.102824,1.570990,2.322440,2.000000,6.000000,15.000000,35.000000,48.000000
Short-Term Pass Holder,8760.000000,5.940753,0.000000,83.000000,9.395049,0.100380,88.266954,1.581458,2.491638,7.492507,0.000000,2.000000,8.000000,26.000000,43.000000
